,Unnamed: 0,blog,date_joined,followers,following,fullname,id,likes,lists,location,num_tweets
0,,aniin.com,2/17/2011 3:47,23906,2659,Naveen Kapoor ANI,253512688,2467,2,"New Delhi, India",7636
0,,vikramjits.com,12/24/2011 11:02,14770,681,Vikramjit Singh Rooprai,445702899,9489,0,New Delhi,15776
0,,,1/11/2011 5:18,676043,656,Adnan Sami,236826818,17125,0,"Mumbai, India",25665
0,,nhsrc.gov.pk/ProfileDetail/…,7/10/2009 23:33,131590,270,Zafar Mirza,55776150,36,2,"Islamabad, Pakistan",2247
0,,,11/30/2009 0:27,7453,560,Syed Zafar Mehdi,93589781,23102,0,Islamic Republic of Iran,19061
0,,,12/10/2017 8:12,2003,1767,Jayant Rokade,9.39891E+17,72336,0,"Pune, India",34610
0,,tonn.ch,7/16/2008 11:03,40950,457,Stay-at-Home Tonno,15457437,2637,7,"Bangkok, Thailand",139444
0,,,2/25/2016 0:01,351,854,Devander Taneja,7.02765E+17,38666,0,,52790
0,,maharashtra.abvp.org,6/25/2013 8:20,16918,120,ABVP Maharashtra,1545967134,2107,0,"Maharashtra, India",4508
0,,instagram.com/bangtanUAE,8/29/2015 11:36,44817,434,BTS UAE  🇦🇪 ⁷,3384276012,4914,0,United Arab Emirates,54706
0,,indianexpress.com/profile/author…,5/3/2010 10:14,5183,2955,Somya Lakhani,139779018,36748,0,"Delhi, India",13473
0,,lankauniversity-news.com,5/22/2009 3:11,91962,21280,Sri Lanka Tweet  🇱🇰,41786801,23640,21,Sri Lanka,28778
0,,,4/1/2016 19:53,10478,5715,Deepak_mragwani,7.16096E+17,220560,0,"Rajasthan, India",282769
0,,imdb.com/name/nm0592803/,5/14/2010 3:03,51904,620,Sudhir Mishra,143765429,284,0,"Mumbai, India",41663
0,,drabhisheksinghvi.com,5/4/2010 5:17,206595,210,Abhishek Singhvi,140047339,1299,1,new delhi,20035
0,,,11/5/2016 22:11,170,987,Sarnab Chakraborty,7.95132E+17,2695,0,The World's Largest Hypocrisy,2954
0,,nagarro.com/en,11/19/2013 6:03,4061,550,Sarika Panda Bhatt,2203159248,21758,0,"Gurgaon, Haryana",12663
0,,RichardBarrow.com,9/9/2009 9:18,160266,198,Richard Barrow in Thailand  🇹🇭 🇬🇧,72888855,4046,35,"Samut Prakan, Thailand",92610
0,,,5/26/2014 7:02,221,847,KAVI RAJ M,2525105264,52829,0,"Bengaluru, India",44164
0,,israelcyclingacademy.com,11/4/2014 11:02,10733,757,Israel Start-Up Nation / Israel Cycling Academy,2890058226,4069,0,Israel,8140
0,,,9/12/2011 0:07,156556,18027,Esv. Adesewa ✨,372147590,29298,0,UAE | Turn on notification  🙄,87997
0,,,3/31/2010 10:16,5605,1002,Ahmed Azaan,128279792,21062,1,Maldives,27944
0,,instagram.com/fazinashriq,5/5/2013 20:28,406,457,Fazi™,1406691752,5794,0,"Kelang, Selangor",9449
0,,hi.wikipedia.org/s/h1d6,9/5/2016 4:55,21596,2993,Brajesh Kumar Singh,7.72765E+17,257,0,India,998
0,,uniquewealth.cn,11/22/2012 21:23,613,1915,Usman,965531948,3685,0,"راولپنڈی, پاکستان",862
0,,vnews.mv,7/1/2009 23:29,9444,3866,Aminath Ameena (Anaa) 🕊 🇲🇻,52991969,12625,2,Maldives,15454
0,,jgopikrishnan.blogspot.in,1/26/2014 1:31,73869,1493,J Gopikrishnan,2311557998,63582,0,New Delhi,50957
0,,facebook.com/roadsofmumbai/,1/11/2016 6:30,39857,1904,Roads of Mumbai  🇮🇳 #StayHome,4774969895,19901,0,"Mumbai, India",41841
0,,instagram.com/rameshlausinst…,1/5/2010 20:17,463926,659,Ramesh Bala,102268884,50465,1,"Chennai, India",223364
0,,youtube.com/watch?v=j5Srzr…,11/26/2008 21:10,17798,999,Sidhant Sibal,17670329,4385,0,"New Delhi, India",43205
0,,zeeshansiddique.com,4/22/2012 16:44,23178,895,Zeeshan Siddique,560762145,685,0,"Mumbai, India",939
0,,,1/4/2013 7:35,48874,1554,#طقس_العالم,1060738268,21286,8,"Dubai, United Arab Emirates",46431
0,,curiouscat.me/niabubbling,5/24/2019 7:13,572,429,Nia Bebel #StayAtHome,1.13193E+18,1276,0,Currenly locked in her heart,8339
0,,,12/23/2012 9:22,5618,1759,Patriots Army,1030980920,7692,0,Gurgaon,69205
0,,economictimes.indiatimes.com/etreporter/aut…,11/26/2013 6:23,9064,1784,Teena Thacker,2215812403,18002,2,Delhi,8634
0,,civilaviation.gov.in,9/19/2015 12:47,67274,48,MoCA_GoI,3619207820,873,0,"New Delhi, India",3050
0,,instagram.com/welcometogauth…,5/30/2014 6:18,1811485,242,Gautam Gulati  🇮🇳,2535079531,9871,0,ᴍᴜᴍʙᴀɪ | ʟᴏɴᴅᴏɴ | ᴅᴇʟʜɪ,5915
0,,twitr.buzz/Whereismy_food,2/2/2014 9:31,9758,134,Ujala Arora,2324087928,15274,0,"Chandigarh, India",7698
0,,facebook.com/SantShriAshara…,1/12/2014 23:13,8372,55, 🚩Sant Shri Asharamji Gurukul-Ashram Vapi 🚩,2289255019,5190,0,"Vapi, India",12612
0,,,12/19/2012 23:39,4646,2036,NARSINGH PRAJAPAT,1023756739,101929,0,जयपुर राजस्थान,146533
0,,inc.in,12/24/2015 18:35,16307,2988,Krishna Mohan Sharma,4646731597,80417,0,"Jaipur, Rajasthan",60869
0,,twitter.com/search?q=from%…,2/21/2016 3:55,6777,238,महिला उत्थान मण्डल,7.01375E+17,4088,0,"Bengaluru, India",11593
0,,,12/1/2019 3:45,293,66,criss,1.2011E+18,347,0,,455
0,,ivyshaven.com,9/14/2015 4:09,17904,1362,maybe: afra,3559563812,27508,0,"Dubai, United Arab Emirates",54222
0,,sudarsansand.art,2/12/2010 21:07,582142,837,Sudarsan Pattnaik,113826230,58859,0,"Puri,Odisha, India",12964
0,,,5/24/2018 21:42,4642,476,S4,9.99873E+17,75888,0,India,59494
0,,ask.fm/sanakujira?utm…,4/24/2013 5:07,1753,1069,ซานะ แซ่ไหน / มาริเอะ ดีคนโด  🐱,1376875998,1555,0,อย่าตามมา กูก็หลง,59107
0,,bharatswabhimantrust.org,2/24/2017 2:22,815,424,Yogsevak Sheeshpal,8.35072E+17,890,0,"Gujarat, India",800
0,,youtu.be/3_5D8SvoGqc,6/26/2012 10:47,15826,60,𝙈𝙚𝙩𝙧𝙤 𝙨𝙝𝙞𝙧𝙞𝙨𝙝,619278965,5263,0,"Chennai, India",4204
0,,swarajyamag.com/author/721290/…,11/26/2015 5:15,5822,372,Harshil હર્ષિલ,4366939278,6072,1,"Amdavad, Gujarat",25903
0,,al-monitor.com/pulse/contents…,5/12/2008 14:14,56734,4376,Ali Hashem  علي هاشم,14749971,5685,5,GB-LBN-QAT-IRQ-IRN,44284
0,,,3/30/2019 0:01,40571,40172,संयोगिता सिन्हा. #जय_श्री राम,1.11189E+18,29857,0,,19705
0,,acharyabalkrishna.com,8/28/2011 3:13,162820,97,Acharya Balkrishna,363585946,3824,0,Haridwar,7952
0,,ambnewdelhi.esteri.it,9/12/2016 0:14,2666,641,Italy in India,7.75231E+17,2446,7,"New Delhi, India",1389
0,,ieyra.com,3/3/2009 11:31,12644,7052,Penjual Sanitizer,22664411,1,18,"Alor Star, Kedah",400495
0,,,8/12/2015 0:28,411618,175,Nilesh Shah,3313143320,3419,0,"Mumbai, India",6373
0,,geopolis.francetvinfo.fr/bureau-pekin/,10/27/2014 11:28,8875,812,Arnauld Miguet,2847050373,4141,0,Beijing,4275
0,,stallionasset.com,4/22/2010 18:25,38286,158,Amit Jeswani,136100401,2184,0,"Mumbai, India",2847
0,,,2/22/2013 22:22,1033,178,yaash,1210815386,21025,0,kuala lumpur,47267
0,,insaf.pk,8/17/2019 7:40,1760,1798,STAY HOME  🍁,1.16274E+18,12796,0,Pakistan,3700
0,,,10/12/2011 0:56,23879,543,Sumeta Syed,389342266,3917,0,Pakistan,17355
0,,facebook.com/GuftarAhmedCh/,12/26/2011 19:18,3930,133,Guftar Ahmed (گفتار احمد),447626422,34162,0,"82-Darhal,Jammu,Kashmir,Delhi",5580
0,,instagram.com/paneeripatakha…,10/14/2012 4:01,7072,304,khudeeja,879861822,267235,0,randi rona,19805
0,,somnathbharti.com,10/19/2009 11:52,168698,1401,Adv. Somnath Bharti,83663427,380,2,"New Delhi, India",22617
0,,,5/19/2013 8:31,158,237,Rashid Rafiq,1441456074,37823,0,Pakistan,6264
0,,facebook.com/UmarKhalidJNU/,4/15/2016 14:52,575659,1060,Umar Khalid,7.21094E+17,9323,0,,3459
0,,myfirstcrore.com,1/18/2016 8:27,5123,404,Gurmeet Chadha,4779130153,43145,0,"New Delhi, India",4842
0,,thenewsminute.com/author-article…,11/4/2016 23:51,5142,2229,Prajwal,7.94794E+17,11431,0,Manipal,3036
0,,instagram.com/nellyellyana,8/30/2015 9:32,3750,1163,Nelly Asleigh,3394488733,4742,0,,19548
0,,instagram.com/sukh_slatch?r=…,4/28/2019 12:56,6693,1860,Sukhpreet Singh,1.12259E+18,25630,2,New Delhi,24068
0,,,5/27/2012 23:53,37520,1215,Soha,592485538,86791,0,"Lahore, Pakistan",75198
0,,,5/9/2010 4:10,3319,61,Pandu,141907861,1074,0,YSR Dist / Lives in Tirupati,29554
0,,kolhapurpolice.gov.in,1/6/2016 5:32,4283,20,KOLHAPUR POLICE,4718698580,21,0,"Kolhapur, India",375
0,,snapchat.com/add/aldhaif77,9/29/2011 13:47,14547,998,محمد الضيف | Mohammed Althayf,382301635,2671,0,"Melbourne, Victoria",31934
0,,instagram.com/AudiPhotography,7/13/2009 13:43,22543,278,Auditya Venkatesh,56486628,1097,0,Bangalore,4613
0,,thetinytaster.com,1/12/2012 1:24,39114,2234,The Tiny Taster,461884798,25604,2,Mumbai,43961
0,,darshandevaiah.com,9/13/2013 11:08,2049,823,Darshan Devaiah B P,1861287276,1731,0,"Bengaluru, Karnataka",2176
0,,linkedin.com/in/dr-alaa-gal…,9/16/2010 2:24,1447,602,د. آلاء كلداري,191380266,2036,7,Dubai & Abu Dhabi,1336
0,,qazijalal.com,5/29/2011 4:29,29048,590,Jalal Qazi,307298757,43027,5,Pakistan   🇵🇰,114327
0,,natebowling.com,1/5/2010 19:52,20101,1430,nate bowling ( ↙️ ↙️ ↙️),102263558,45582,7,"The Dhabs, UAE  🇦🇪",22547
0,,,8/16/2011 12:02,697,262, 🍊สนอำพัน 🍊 🍊,356366962,104769,0,Thailand,61726
0,,,4/3/2010 6:03,17481,862,Shreemi Verma,129184424,46609,0,Mumbai,42084
0,,manushi.in,2/27/2011 2:48,2069987,612,MadhuPurnima Kishwar,258283931,5173,5,"New Delhi, India",41563
0,,,3/14/2017 4:20,91193,196,N.Biren Singh,8.4161E+17,26594,0,"Manipur, India",9361
0,,,1/5/2014 21:22,3488,3285,Shalini,2278576249,57989,0,,200759
0,,,9/9/2011 3:07,4269,1905,𝕚𝓢ˢ𝕚s  🌴 𝐅υѶ𝓪ᕼ𝐦𝓾𝕝𝔞Ĥ,370613891,37126,0,Fuvahmulah Maldives,45884
0,,twitter.com/intent/tweet?t…,3/23/2019 6:10,647,322, 🎮ᴉuɐɥԀ,1.10944E+18,40768,1,uʍop ǝpᴉsd∩,22130
0,,indiatoday.intoday.in/author/Nagarju…,7/20/2009 23:12,8851,816,Nagarjun Dwarakanath,58722145,17,0,"Bengaluru, India",23799
0,,,12/25/2015 6:41,45,583,Sajad Ahmad,4600857861,20,0,"Islamabad, Pakistan",78
0,,mrinalbaithak.blogspot.in,3/24/2014 1:33,41632,455,Mrinal Pande,2408615534,178,0,New Delhi,26539
0,,linkedin.com/in/eedham-rash…,4/11/2017 23:09,1166,1465,Eedham Rasheed,8.52041E+17,1470,0,Maldives,1176
0,,sethmillernyc.com,10/28/2011 18:26,892,804,Anna Burnham,400434668,5064,2,"New York, NY",1596
0,,instagram.com/owtothezie,6/11/2009 5:02,38645,849,Mari Belajar Masak,46371875,4524,2,"Doha, Qatar",236348
0,,ststephens.edu,7/2/2008 11:16,22617,1465,PKR | প্রশান্ত | پرشانتو,15300300,34888,1,"New Delhi, India",130065
0,,spoonsandsneakers.com,6/21/2009 23:40,5568,1857,The General's Daughter,49558618,25477,2,"New Delhi, India",24422
0,,instagram.com/twenty9co,6/17/2016 7:51,251,220,Naen Lee ,7.43818E+17,3071,1,"Barat Daya, Pulau Pinang",2814
0,,kanakaveda.com,12/3/2012 2:30,325,1528,Dr Ashwini Gaikwad,986364464,241,0,"Mumbai, India",182
0,,m.youtube.com/channel/UCJbJn…,3/8/2010 3:46,1673,691,Kanishka De Lanerolle,121085740,18762,0,"Colombo, Sri Lanka",2776
0,,,11/19/2019 21:26,4557,4424,Mansoor Ul Haq Sheikh,1.19702E+18,32666,0,Pakistan,18109
0,,muraliwrites.com,12/22/2007 6:50,3871,2880,Murali,11433002,13866,7,"Chennai, India",82625
0,,,3/8/2013 22:56,5398,1222,Archis Mohan अर्चिस,1253614164,31283,1,Delhi,22774
0,,theequitydesk.com,4/2/2010 21:46,100895,182,Basant Maheshwari,129094395,121,0,"Mumbai, India",7270
0,,,7/31/2015 22:28,8314,509,𝔸𝕝𝕚 ℍ𝕒𝕤𝕙𝕚𝕞 𝕊𝕞𝕚𝕥𝕙,3303059882,72374,0,Maldives,94816
0,,Instagram.com/moabuobeid,11/28/2009 8:36,1237677,4577,محمد أبوعبيد,93214982,7691,0,Dubai,319689
0,,adkhospital.mv/en/employee/ab…,5/19/2009 2:15,19209,376,Abdulla Niyaf,41084169,5532,0,"Male', Maldives",6268
0,,mof.gov.qa,7/28/2011 19:40,15823,740,سعود بن عبدالله العطية,344451262,1460,0,"Doha, Qatar",9589
0,,news18.com/byline/uday-si…,8/17/2009 4:36,4988,2264,Uday Singh Rana,66334416,4740,1,"New Delhi, India",21793
0,,instagram.com/nayabjanoffici…,4/10/2015 22:44,8120,954,Nayab Gohar Jan,3149204060,19357,0,"Lahore, Pakistan",5129
0,,sayantanghosh.contently.com,10/29/2009 12:30,7516,389,Sayantan Ghosh,86143180,17425,0,"New Delhi, Calcutta",29137
0,,,3/14/2016 4:31,12486,3222, ✨ 👑 DaddyMO 👑 ✨,7.09341E+17,36100,0,Doha London Los Angeles,49143
0,,facebook.com/profile.php?id…,1/26/2009 1:32,6575,2669,คนไทยไม่ยอม YNWA,19526231,15392,1,"ÜT: 13.69587,100.751746",54654
0,,,4/25/2009 22:30,6545,1848,Cabin Fever Jesus,35411984,29236,10,Discworld,97629
0,,,1/11/2014 2:18,5103,156,ತರ್ಲೆ 𝒯𝒽𝒾𝓂𝓂𝒶,2286417703,77530,0,"Bengaluru South, India",173398
0,,roamreplenishrepeat.com,3/9/2012 0:59,13659,750,Ashleigh Stewart,519321215,6237,0,"Dubai, United Arab Emirates",10866
0,,,1/2/2014 19:55,2743,1942,gaurav sachdeva,2273927574,131895,0,"New Delhi, India",169411
0,,khabar.ndtv.com,9/13/2009 4:13,114975,707,Umashankar Singh उमाशंकर सिंह,73863773,22097,1,New Delhi,22854
0,,eatlagoon.com,10/27/2009 0:55,1371,340,Pratyush Dixit,85521745,3785,0,India,9471
0,,profpascalmeier.com,6/13/2010 6:01,113388,123163,"Pascal Meier,MD",155202983,139026,35,"Chur, Switzerland",27800
0,,,8/12/2013 4:48,18291,196,"Addl. IGP Dr Jamil Ahmed PSP, PPM",1664888048,4470,0,Karachi,1271
0,,sangrisaeed.com,8/14/2009 11:36,17845,9659,Saeed Sangri,65701988,174435,0,Khairpur,61059
0,,,7/28/2018 16:07,17574,501,٭,1.02334E+18,136370,1,🇴🇲,65570
0,,facebook.com/munzaa,2/13/2011 21:24,13347,246,Munza Mushtaq,251958790,28831,0,Based in Sri Lanka,15288
0,,facebook.com/sqnqs,12/12/2014 10:36,3447,235,Qassim N. Qamar,2918214640,2601,0,"Sindh, Pakistan",559
0,,wionews.com,5/9/2011 23:34,13657,767,Kartikeya Sharma,296107913,5910,1,Delhi,16195
0,,,,,,,,,,,
0,,,2/24/2013 17:54,145860,316,Faridoon Shahryar,1217017676,12501,0,"Mumbai, India",79230
0,,,11/19/2019 21:26,4557,4424,Mansoor Ul Haq Sheikh,1.19702E+18,32666,0,Pakistan,18110
0,,muraliwrites.com,12/22/2007 6:50,3871,2880,Murali,11433002,13866,7,"Chennai, India",82625
0,,,3/8/2013 22:56,5398,1222,Archis Mohan अर्चिस,1253614164,31283,1,Delhi,22774
0,,theequitydesk.com,4/2/2010 21:46,100895,182,Basant Maheshwari,129094395,121,0,"Mumbai, India",7270
0,,,7/31/2015 22:28,8314,509,𝔸𝕝𝕚 ℍ𝕒𝕤𝕙𝕚𝕞 𝕊𝕞𝕚𝕥𝕙,3303059882,72375,0,Maldives,94817
0,,Instagram.com/moabuobeid,11/28/2009 8:36,1237677,4577,محمد أبوعبيد,93214982,7691,0,Dubai,319689
0,,adkhospital.mv/en/employee/ab…,5/19/2009 2:15,19209,376,Abdulla Niyaf,41084169,5532,0,"Male', Maldives",6268
0,,mof.gov.qa,7/28/2011 19:40,15823,740,سعود بن عبدالله العطية,344451262,1460,0,"Doha, Qatar",9589
0,,news18.com/byline/uday-si…,8/17/2009 4:36,4988,2264,Uday Singh Rana,66334416,4741,1,"New Delhi, India",21794
0,,instagram.com/nayabjanoffici…,4/10/2015 22:44,8120,954,Nayab Gohar Jan,3149204060,19361,0,"Lahore, Pakistan",5130
0,,sayantanghosh.contently.com,10/29/2009 12:30,7516,389,Sayantan Ghosh,86143180,17425,0,"New Delhi, Calcutta",29137
0,,,3/14/2016 4:31,12487,3222, ✨ 👑 DaddyMO 👑 ✨,7.09341E+17,36103,0,Doha London Los Angeles,49149
0,,facebook.com/profile.php?id…,1/26/2009 1:32,6575,2669,คนไทยไม่ยอม YNWA,19526231,15392,1,"ÜT: 13.69587,100.751746",54654
0,,,4/25/2009 22:30,6545,1848,Cabin Fever Jesus,35411984,29237,10,Discworld,97630
0,,,1/11/2014 2:18,5103,156,ತರ್ಲೆ 𝒯𝒽𝒾𝓂𝓂𝒶,2286417703,77530,0,"Bengaluru South, India",173398
0,,roamreplenishrepeat.com,3/9/2012 0:59,13660,750,Ashleigh Stewart,519321215,6237,0,"Dubai, United Arab Emirates",10866
0,,,1/2/2014 19:55,2743,1942,gaurav sachdeva,2273927574,131895,0,"New Delhi, India",169411
0,,khabar.ndtv.com,9/13/2009 4:13,114985,707,Umashankar Singh उमाशंकर सिंह,73863773,22101,1,New Delhi,22855
0,,eatlagoon.com,10/27/2009 0:55,1371,340,Pratyush Dixit,85521745,3785,0,India,9471
0,,profpascalmeier.com,6/13/2010 6:01,113386,123164,"Pascal Meier,MD",155202983,139026,35,"Chur, Switzerland",27800
0,,,8/12/2013 4:48,18292,196,"Addl. IGP Dr Jamil Ahmed PSP, PPM",1664888048,4470,0,Karachi,1271
0,,sangrisaeed.com,8/14/2009 11:36,17845,9659,Saeed Sangri,65701988,174435,0,Khairpur,61059
0,,,7/28/2018 16:07,17575,501,٭,1.02334E+18,136371,1,🇴🇲,65570
0,,facebook.com/munzaa,2/13/2011 21:24,13348,246,Munza Mushtaq,251958790,28831,0,Based in Sri Lanka,15284
0,,facebook.com/sqnqs,12/12/2014 10:36,3447,235,Qassim N. Qamar,2918214640,2603,0,"Sindh, Pakistan",559
0,,wionews.com,5/9/2011 23:34,13658,767,Kartikeya Sharma,296107913,5910,1,Delhi,16195
0,,,,,,,,,,,
0,,,2/24/2013 17:54,145860,316,Faridoon Shahryar,1217017676,12501,0,"Mumbai, India",79232
0,,,3/13/2013 13:43,1239,1606,Niyaz Yoosuf  🎈 🇲🇻,1265394180,11223,0,"Male', Maldives..",30801
0,,iima.ac.in,2/27/2009 11:38,194815,106,IIM Ahmedabad,22179561,1512,0,Ahmedabad - INDIA,2971
0,,facebook.com/karunasagarllb,11/11/2009 2:38,4263,233,Karunasagar Adv  ⚔️ Since 1979,89156398,7669,0,"Hyderabad, India",5527
0,,,1/25/2017 0:19,182,474,Kartik Patadia,8.2417E+17,1775,0,"Mumbai, India",729
0,,,5/10/2016 21:33,13638,4142,Nisha Purushothaman,7.30254E+17,4884,0,"Cochin , Idukki ,Kerala, India",5241
0,,,10/12/2014 5:44,4638,629,نُور,2853120606,4496,0,"Muscat, Oman",13179
0,,curiouscat.me/dana2,1/9/2018 2:59,794,247,dana,9.50684E+17,6138,0,Dubai,6315
0,,thebeduboutqiue.com,3/11/2019 2:21,2619,33,theabbasvlog,1.10504E+18,223,0,Reality,411
0,,,9/28/2014 6:39,131,874,Anant Bohra (Jain),2835131605,4154,0,"Mumbai, Jabalpur",479
0,,,12/24/2015 8:09,2306,866,Sirjana Singh,4590756087,4922,2,"Chaksibari,kathmandu.",1313
0,,,2/14/2018 8:01,5081,140,Roche 🇱🇰,9.63805E+17,13940,0,"Colombo, Sri Lanka",16396
0,,sundeepkochar.com,5/23/2009 6:04,8732,935,Sundeep Kochar,42022523,4328,2,Mumbai,3096
0,,nsc.gov.af,12/3/2010 21:28,94261,323,Javid Faisal,222703409,1619,1,"Kabul, Afghanistan",5331
0,,sakaar.co.in,6/10/2010 3:56,33085,1209,சைலேஷ்,154099451,4748,37,"Ghazipur and Varanasi, India",169176
0,,youtube.com/user/saaaaahil,10/2/2009 6:18,35031,389,Saahil Murli Menghani,79178279,20777,0,India,17761
0,,Instagram.com/vikrant.gupta73,4/20/2010 3:57,325340,316,Vikrant Gupta,135110894,17350,1,"New Delhi, India",26288
0,,en.wikipedia.org/wiki/Anil_Vij,6/15/2011 8:05,329502,100,ANIL VIJ MINISTER HARYANA,317832990,41,0,AMBALA CANTT HARYANA INDIA,4143
0,,,1/23/2012 7:58,2358,827,Chetan Anantharamu,472092043,10388,2,"Bengaluru, India",51353
0,,Instagram.com/Suyu_pmr,2/1/2014 20:44,3433,1504,MedicalcarePalitคิดถึงผลิตมาก นะจ้านะจ้า,2323178450,105165,0,Thailand,424735
0,,srisriuniversity.edu.in,12/7/2009 4:43,15298,392,Rajita Bagga,95193484,11108,1,,17105
0,,mubeenulhaq.com,3/10/2010 7:01,2712,579,Mubeen ul haq,121775681,1410,0,Karachi,11025
0,,embajadaabierta.org,1/25/2011 15:24,17875,314,Jorge Argüello,242941996,8107,0,Argentina,15241
0,,web.facebook.com/UsherKomugisha/,4/29/2011 7:39,24252,796,Usher Komugisha,289968217,15718,0,Kampala | Cairo | Casablanca,73214
0,,litmustestproject.com,4/26/2010 23:45,8471,3339,Ruben Mascarenhas,137606960,22538,8,Mumbai/Pune,43073
0,,espnmediazone.com/us/bios/raunak…,12/16/2010 3:33,17972,935,Raunak Kapoor,227271467,1183,0,"Mumbai, India",6638
0,,bbc.co.uk/news,1/15/2010 6:22,1874,961,pratiksha ghildial 💥,105152403,3177,0,"New Delhi, India",3476
0,,thehindu.com,4/4/2012 6:02,26045,795,Mahesh Langa,545110987,14096,1,"Ahmedabad, Gujarat",157873
0,,shivsena.org,6/27/2019 2:05,423091,15,Office of Uddhav Thackeray,1.14417E+18,110,0,"Mumbai, India",991
0,,,1/29/2012 6:48,95270,1898,Amber Rahim Shamsi,477756438,32090,0,"Islamabad, Pakistan",28381
0,,sujan.info,3/9/2014 22:00,50913,139,Dr.Sujan Chakraborty,2381541234,19574,0,Kolkata,5502
0,,m.facebook.com/iKashyapKadaga…,11/16/2013 7:08,22022,314,Kashyap Kadagattur  🇮🇳,2197900465,18477,0,Jammu And Kashmir,4689
0,,khojinews.co.in,9/17/2009 2:17,957,2608,ASIF KHAN,74972058,2601,0,"Muzaffarnagar, India",3454
0,,,7/16/2014 0:58,37715,277,Deepali Rana,2650316576,4778,0,"Mumbai, India",6778
0,,twitch.tv/georgeorozco,11/16/2011 14:00,19413,2973,George Orozco,414302844,35254,1,Tramp House,44157
0,,twiends.com/soodrajive,9/18/2016 3:30,567,83,Rajive Sood 🇮🇳,7.77455E+17,6742,0,India,9125
0,,sto.mv,4/5/2017 23:01,2011,110,STO Medical Services,8.49865E+17,1480,0,Maldives,1044
0,,,2/24/2015 23:27,7993,1222,Taimoor Ali Maher,3061242191,16779,0,"Karachi, Digri",9430
0,,,2/2/2017 0:48,7123,895,Imran Keerio  🇱🇾,8.27076E+17,118237,0,,111850
0,,linktr.ee/by.flawsome,1/18/2017 17:04,5209,23,by.flawsome,8.21886E+17,39,0,,4294
0,,williamdalrymple.uk.com,11/5/2012 11:13,1175548,2260,William Dalrymple,928219752,50232,0,New Delhi,47981
0,,twitter.com/search?q=from%…,1/13/2018 1:35,2081,196,RINKIYA के पापा  🤖 😎 👿,9.52112E+17,25705,0,disabled,37670
0,,snapchat.com/add/heynixhant,8/17/2018 12:59,803,142,NIXHANT,1.03054E+18,41619,0,हिन्दुस्तान,23202
0,,,2/5/2017 7:44,5376,3422,Gulshan dass,8.28268E+17,8597,0,"Nigdhu, Karnal",5069
